Example_experiment_data
;TSE PhenoMaster V4.8.9 (2013-4929)
Box;Animal No.;Weight_g;Text1
1;1;350;HEALTHY
2;2;350;DISEASE
3;3;350;HEALTHY
4;4;350;DISEASE
5;5;350;HEALTHY
1;6;350;DISEASE
2;7;350;HEALTHY
3;8;350;DISEASE
4;9;350;HEALTHY
5;10;350;DISEASE

Date;Time;Animal No.;Box;XT+YT;XT;XY
2024-07-22;06:12:00;10;5;0;263;704
2024-07-22;06:13:00;1;1;48;234;709
2024-07-22;06:13:00;2;1;62;241;0
2024-07-22;06:13:00;3;2;0;240;691
2024-07-22;06:13:00;4;2;75;260;0
2024-07-22;06:13:00;5;3;59;271;696
2024-07-22;06:13:00;6;3;0;281;697
2024-07-22;06:13:00;7;4;0;233;705
2024-07-22;06:13:00;8;4;103;243;0
2024-07-22;06:13:00;9;5;0;0;710
2024-07-22;06:13:00;10;5;71;267;733
2024-07-22;06:14:00;1;1;0;244;721
2024-07-22;06:14:00;2;1;0;245;734
2024-07-22;06:14:00;3;2;0;262;692
2024-07-22;06:14:00;4;2;86;0;0
2024-07-22;06:14:00;5;3;0;243;0
2024-07-22;06:14:00;6;3;64;249;707
2024-07-22;06:14:00;7;4;0;260;689
2024-07-22;06:14:00;8;4;0;272;0
2024-07-22;06:14:00;9;5;70;251;682
2024-07-22;06:14:00;10;5;0;255;695
2024-07-22;06:15:00;1;1;60;257;0
2024-07-22;06:15:00;2;1;0;262;728
2024-07-22;06:15:00;3;2;0;0;705
2024-07-22;06:15:00;4;2;70;270;0
2024-07-22;06:15:00;5;3;0;247;684
2024-07-22;06:15:00;6;3;0;262;0
2024-07-22;06:15:00;7;4;79;245;711
2024-07-22;06:15:00;8;4;89;256;727
2024-07-22;06:15:00;9;5;0;234;697
2024-07-22;06:15:00;10;5;107;0;0
2024-07-22;06:16:00;1;1;0;263;0
2024-07-22;06:16:00;2;1;103;270;718
2024-07-22;06:16:00;3;2;54;248;708
2024-07-22;06:16:00;4;2;0;253;716
2024-07-22;06:16:00;5;3;91;246;0
2024-07-22;06:16:00;6;3;92;0;731
2024-07-22;06:16:00;7;4;0;0;673
2024-07-22;06:16:00;8;4;93;253;694
2024-07-22;06:16:00;9;5;61;226;0
2024-07-22;06:16:00;10;5;74;234;722
2024-07-22;06:17:00;1;1;81;256;693
2024-07-22;06:17:00;2;1;0;270;0
2024-07-22;06:17:00;3;2;74;254;700
2024-07-22;06:17:00;4;2;79;265;720
2024-07-22;06:17:00;5;3;70;248;696
2024-07-22;06:17:00;6;3;81;0;709
2024-07-22;06:17:00;7;4;51;222;0
2024-07-22;06:17:00;8;4;56;236;707
2024-07-22;06:17:00;9;5;0;0;0
2024-07-22;06:17:00;10;5;78;259;709
2024-07-22;06:18:00;1;1;72;0;0
2024-07-22;06:18:00;2;1;0;261;702
2024-07-22;06:18:00;3;2;70;261;683
2024-07-22;06:18:00;4;2;82;273;690
2024-07-22;06:18:00;5;3;0;0;667
2024-07-22;06:18:00;6;3;0;249;688
2024-07-22;06:18:00;7;4;49;0;0
2024-07-22;06:18:00;8;4;57;240;710
2024-07-22;06:18:00;9;5;82;234;662
2024-07-22;06:18:00;10;5;86;239;0
2024-07-22;06:19:00;1;1;64;255;698
2024-07-22;06:19:00;2;1;73;271;0
2024-07-22;06:19:00;3;2;70;0;677
2024-07-22;06:19:00;4;2;76;255;0
2024-07-22;06:19:00;5;3;74;242;692
2024-07-22;06:19:00;6;3;82;254;0
2024-07-22;06:19:00;7;4;66;255;684
2024-07-22;06:19:00;8;4;77;271;703
2024-07-22;06:19:00;9;5;64;247;694
2024-07-22;06:19:00;10;5;68;256;0
2024-07-22;06:20:00;1;1;0;242;680
2024-07-22;06:20:00;2;1;85;247;0
2024-07-22;06:20:00;3;2;75;245;0
2024-07-22;06:20:00;4;2;87;250;728
2024-07-22;06:20:00;5;3;82;0;670
2024-07-22;06:20:00;6;3;91;245;685
2024-07-22;06:20:00;7;4;89;239;694
2024-07-22;06:20:00;8;4;90;257;0
2024-07-22;06:20:00;9;5;68;238;0
2024-07-22;06:20:00;10;5;72;247;0
2024-07-22;06:21:00;1;1;0;0;0
2024-07-22;06:21:00;2;1;74;249;723
2024-07-22;06:21:00;3;2;60;0;684
2024-07-22;06:21:00;4;2;0;274;0
2024-07-22;06:21:00;5;3;0;241;0
2024-07-22;06:21:00;6;3;59;249;730
2024-07-22;06:21:00;7;4;89;241;668
2024-07-22;06:21:00;8;4;90;0;695
2024-07-22;06:21:00;9;5;86;250;0
2024-07-22;06:21:00;10;5;98;262;690
2024-07-22;06:22:00;1;1;0;0;713
2024-07-22;06:22:00;2;1;0;259;0
2024-07-22;06:22:00;3;2;86;239;0
2024-07-22;06:22:00;4;2;98;0;741
2024-07-22;06:22:00;5;3;48;0;702
2024-07-22;06:22:00;6;3;0;258;0
2024-07-22;06:22:00;7;4;73;0;671
2024-07-22;06:22:00;8;4;0;256;0
2024-07-22;06:22:00;9;5;68;239;700
2024-07-22;06:22:00;10;5;72;245;710
2024-07-22;06:23:00;1;1;73;258;693
2024-07-22;06:23:00;2;1;79;264;705
2024-07-22;06:23:00;3;2;74;240;717
2024-07-22;06:23:00;4;2;82;0;722
2024-07-22;06:23:00;5;3;94;234;0
2024-07-22;06:23:00;6;3;105;247;0
2024-07-22;06:23:00;7;4;69;255;0
2024-07-22;06:23:00;8;4;78;255;706
2024-07-22;06:23:00;9;5;0;0;689
2024-07-22;06:23:00;10;5;48;274;700
2024-07-22;06:24:00;1;1;66;258;725
2024-07-22;06:24:00;2;1;77;270;722
2024-07-22;06:24:00;3;2;0;251;0
2024-07-22;06:24:00;4;2;79;254;717
2024-07-22;06:24:00;5;3;0;226;707
2024-07-22;06:24:00;6;3;81;233;720
2024-07-22;06:24:00;7;4;89;240;0
2024-07-22;06:24:00;8;4;96;244;0
2024-07-22;06:24:00;9;5;83;251;683
2024-07-22;06:24:00;10;5;86;256;698
2024-07-22;06:25:00;1;1;0;247;686
2024-07-22;06:25:00;2;1;100;255;711
2024-07-22;06:25:00;3;2;83;0;724
2024-07-22;06:25:00;4;2;0;252;739
2024-07-22;06:25:00;5;3;0;0;0
2024-07-22;06:25:00;6;3;73;254;705
2024-07-22;06:25:00;7;4;87;252;0
2024-07-22;06:25:00;8;4;97;258;675
2024-07-22;06:25:00;9;5;45;0;679
2024-07-22;06:25:00;10;5;0;0;682
2024-07-22;06:26:00;1;1;0;245;719
2024-07-22;06:26:00;2;1;81;254;728
2024-07-22;06:26:00;3;2;60;253;691
2024-07-22;06:26:00;4;2;72;260;707
2024-07-22;06:26:00;5;3;78;258;703
2024-07-22;06:26:00;6;3;0;0;722
2024-07-22;06:26:00;7;4;0;0;698
2024-07-22;06:26:00;8;4;96;0;717
2024-07-22;06:26:00;9;5;90;240;680
2024-07-22;06:26:00;10;5;94;250;702
2024-07-22;06:27:00;1;1;0;255;0
2024-07-22;06:27:00;2;1;91;270;0
2024-07-22;06:27:00;3;2;0;254;702
2024-07-22;06:27:00;4;2;0;262;715
2024-07-22;06:27:00;5;3;57;226;0
2024-07-22;06:27:00;6;3;0;236;686
2024-07-22;06:27:00;7;4;83;0;710
2024-07-22;06:27:00;8;4;87;0;730
2024-07-22;06:27:00;9;5;70;245;670
2024-07-22;06:27:00;10;5;79;0;680
2024-07-22;06:28:00;1;1;85;0;699
2024-07-22;06:28:00;2;1;94;254;709
2024-07-22;06:28:00;3;2;70;221;702
2024-07-22;06:28:00;4;2;71;230;0
2024-07-22;06:28:00;5;3;82;246;0
2024-07-22;06:28:00;6;3;0;255;727
2024-07-22;06:28:00;7;4;0;245;699
2024-07-22;06:28:00;8;4;79;0;0
2024-07-22;06:28:00;9;5;80;255;691
2024-07-22;06:28:00;10;5;86;263;705
2024-07-22;06:29:00;1;1;69;0;671
2024-07-22;06:29:00;2;1;80;267;683
2024-07-22;06:29:00;3;2;59;241;684
2024-07-22;06:29:00;4;2;0;0;0
2024-07-22;06:29:00;5;3;0;0;701
2024-07-22;06:29:00;6;3;0;272;0
2024-07-22;06:29:00;7;4;0;231;715
2024-07-22;06:29:00;8;4;74;245;719
2024-07-22;06:29:00;9;5;71;247;709
2024-07-22;06:29:00;10;5;81;259;726
2024-07-22;06:30:00;1;1;66;243;679
2024-07-22;06:30:00;2;1;69;0;0
2024-07-22;06:30:00;3;2;74;236;687
2024-07-22;06:30:00;4;2;0;250;699
2024-07-22;06:30:00;5;3;75;0;683
2024-07-22;06:30:00;6;3;82;0;692
2024-07-22;06:30:00;7;4;72;246;0
2024-07-22;06:30:00;8;4;82;0;708
2024-07-22;06:30:00;9;5;76;227;669
2024-07-22;06:30:00;10;5;76;235;680
2024-07-22;06:31:00;1;1;75;244;684
2024-07-22;06:31:00;2;1;0;0;689
2024-07-22;06:31:00;3;2;0;0;0
2024-07-22;06:31:00;4;2;66;0;695
2024-07-22;06:31:00;5;3;71;258;682
2024-07-22;06:31:00;6;3;0;0;0
2024-07-22;06:31:00;7;4;65;246;721
2024-07-22;06:31:00;8;4;0;252;734
2024-07-22;06:31:00;9;5;0;257;692
2024-07-22;06:31:00;10;5;0;274;0
2024-07-22;06:32:00;1;1;69;254;0
2024-07-22;06:32:00;2;1;80;262;690
2024-07-22;06:32:00;3;2;70;259;701
2024-07-22;06:32:00;4;2;73;0;720
2024-07-22;06:32:00;5;3;48;235;691
2024-07-22;06:32:00;6;3;0;251;703
2024-07-22;06:32:00;7;4;63;250;670
2024-07-22;06:32:00;8;4;68;0;685
2024-07-22;06:32:00;9;5;76;229;716
2024-07-22;06:32:00;10;5;80;239;0
2024-07-22;06:33:00;1;1;82;0;698
2024-07-22;06:33:00;2;1;0;248;712
2024-07-22;06:33:00;3;2;80;0;704
2024-07-22;06:33:00;4;2;89;252;716
2024-07-22;06:33:00;5;3;75;0;687
2024-07-22;06:33:00;6;3;84;0;698
2024-07-22;06:33:00;7;4;61;255;0
2024-07-22;06:33:00;8;4;65;0;699
2024-07-22;06:33:00;9;5;0;254;701
2024-07-22;06:33:00;10;5;68;258;0
2024-07-22;06:34:00;1;1;61;0;713
2024-07-22;06:34:00;2;1;72;255;734
2024-07-22;06:34:00;3;2;83;0;683
2024-07-22;06:34:00;4;2;0;0;704
2024-07-22;06:34:00;5;3;71;255;656
2024-07-22;06:34:00;6;3;82;264;682
2024-07-22;06:34:00;7;4;68;263;691
2024-07-22;06:34:00;8;4;76;270;709
2024-07-22;06:34:00;9;5;0;255;0
2024-07-22;06:34:00;10;5;100;260;703
2024-07-22;06:35:00;1;1;86;0;703
2024-07-22;06:35:00;2;1;91;0;698
2024-07-22;06:35:00;3;2;87;0;695
2024-07-22;06:35:00;4;2;99;258;717
2024-07-22;06:35:00;5;3;74;0;693
2024-07-22;06:35:00;6;3;0;247;0
2024-07-22;06:35:00;7;4;0;257;706
2024-07-22;06:35:00;8;4;84;259;722
2024-07-22;06:35:00;9;5;70;249;673
2024-07-22;06:35:00;10;5;79;0;686
2024-07-22;06:36:00;1;1;0;253;696
2024-07-22;06:36:00;2;1;75;257;714
2024-07-22;06:36:00;3;2;69;250;714
2024-07-22;06:36:00;4;2;75;253;717
2024-07-22;06:36:00;5;3;65;0;0
2024-07-22;06:36:00;6;3;70;259;731
2024-07-22;06:36:00;7;4;0;235;680
2024-07-22;06:36:00;8;4;0;246;692
2024-07-22;06:36:00;9;5;0;0;695
2024-07-22;06:36:00;10;5;0;260;712
2024-07-22;06:37:00;1;1;67;261;691
2024-07-22;06:37:00;2;1;0;270;700
2024-07-22;06:37:00;3;2;58;0;704
2024-07-22;06:37:00;4;2;64;244;712
2024-07-22;06:37:00;5;3;87;257;0
2024-07-22;06:37:00;6;3;101;270;681
2024-07-22;06:37:00;7;4;88;239;726
2024-07-22;06:37:00;8;4;91;251;0
2024-07-22;06:37:00;9;5;101;0;0
2024-07-22;06:37:00;10;5;0;235;720
2024-07-22;06:38:00;1;1;67;241;707
2024-07-22;06:38:00;2;1;0;0;723
2024-07-22;06:38:00;3;2;0;255;0
2024-07-22;06:38:00;4;2;91;262;707
2024-07-22;06:38:00;5;3;0;0;0
2024-07-22;06:38:00;6;3;76;0;711
2024-07-22;06:38:00;7;4;83;242;713
2024-07-22;06:38:00;8;4;0;254;720
2024-07-22;06:38:00;9;5;64;255;678
2024-07-22;06:38:00;10;5;0;260;692
2024-07-22;06:39:00;1;1;71;0;719
2024-07-22;06:39:00;2;1;0;0;743
2024-07-22;06:39:00;3;2;84;0;681
2024-07-22;06:39:00;4;2;98;264;0
2024-07-22;06:39:00;5;3;0;237;723
2024-07-22;06:39:00;6;3;79;245;739
2024-07-22;06:39:00;7;4;0;0;716
2024-07-22;06:39:00;8;4;45;270;720
2024-07-22;06:39:00;9;5;62;265;686
2024-07-22;06:39:00;10;5;66;274;697
2024-07-22;06:40:00;1;1;75;246;689
2024-07-22;06:40:00;2;1;89;259;0
2024-07-22;06:40:00;3;2;57;265;697
2024-07-22;06:40:00;4;2;0;262;711
2024-07-22;06:40:00;5;3;54;244;695
2024-07-22;06:40:00;6;3;55;0;724
2024-07-22;06:40:00;7;4;90;0;0
2024-07-22;06:40:00;8;4;95;269;703
2024-07-22;06:40:00;9;5;83;262;692
2024-07-22;06:40:00;10;5;90;268;708
2024-07-22;06:41:00;1;1;81;0;0
2024-07-22;06:41:00;2;1;88;249;721
2024-07-22;06:41:00;3;2;0;0;704
2024-07-22;06:41:00;4;2;93;248;716
2024-07-22;06:41:00;5;3;0;270;712
2024-07-22;06:41:00;6;3;89;279;737
2024-07-22;06:41:00;7;4;51;242;700
2024-07-22;06:41:00;8;4;56;0;709
2024-07-22;06:41:00;9;5;0;233;699
2024-07-22;06:41:00;10;5;92;255;716
2024-07-22;06:42:00;1;1;81;0;702
2024-07-22;06:42:00;2;1;95;252;0
2024-07-22;06:42:00;3;2;51;0;686
2024-07-22;06:42:00;4;2;63;263;699
2024-07-22;06:42:00;5;3;0;0;0
2024-07-22;06:42:00;6;3;82;259;702
2024-07-22;06:42:00;7;4;63;255;691
2024-07-22;06:42:00;8;4;67;261;703
2024-07-22;06:42:00;9;5;71;239;0
2024-07-22;06:42:00;10;5;0;250;711
2024-07-22;06:43:00;1;1;91;248;676
2024-07-22;06:43:00;2;1;97;264;682
2024-07-22;06:43:00;3;2;99;0;699
2024-07-22;06:43:00;4;2;107;265;706
2024-07-22;06:43:00;5;3;82;239;0
2024-07-22;06:43:00;6;3;88;245;727
2024-07-22;06:43:00;7;4;86;0;0
2024-07-22;06:43:00;8;4;89;257;669
2024-07-22;06:43:00;9;5;63;247;716
2024-07-22;06:43:00;10;5;68;0;0
2024-07-22;06:44:00;1;1;74;0;701
2024-07-22;06:44:00;2;1;77;259;709
2024-07-22;06:44:00;3;2;78;0;677
2024-07-22;06:44:00;4;2;0;270;696
2024-07-22;06:44:00;5;3;60;235;711
2024-07-22;06:44:00;6;3;64;245;724
2024-07-22;06:44:00;7;4;74;232;680
2024-07-22;06:44:00;8;4;80;0;695
2024-07-22;06:44:00;9;5;0;247;673
2024-07-22;06:44:00;10;5;61;0;686
2024-07-22;06:45:00;1;1;80;0;698
2024-07-22;06:45:00;2;1;0;253;717
2024-07-22;06:45:00;3;2;85;256;693
2024-07-22;06:45:00;4;2;93;0;0
2024-07-22;06:45:00;5;3;84;251;699
2024-07-22;06:45:00;6;3;89;263;0
2024-07-22;06:45:00;7;4;0;227;0
2024-07-22;06:45:00;8;4;93;232;0
2024-07-22;06:45:00;9;5;40;239;0
2024-07-22;06:45:00;10;5;49;253;740
2024-07-22;06:46:00;1;1;65;254;0
2024-07-22;06:46:00;2;1;77;265;709
2024-07-22;06:46:00;3;2;61;227;0
2024-07-22;06:46:00;4;2;74;238;706
2024-07-22;06:46:00;5;3;62;240;709
2024-07-22;06:46:00;6;3;65;247;0
2024-07-22;06:46:00;7;4;63;240;701
2024-07-22;06:46:00;8;4;0;245;704
2024-07-22;06:46:00;9;5;93;239;696
2024-07-22;06:46:00;10;5;99;245;0
2024-07-22;06:47:00;1;1;0;248;718
2024-07-22;06:47:00;2;1;96;259;726
2024-07-22;06:47:00;3;2;73;245;673
2024-07-22;06:47:00;4;2;82;255;683
2024-07-22;06:47:00;5;3;64;241;0
2024-07-22;06:47:00;6;3;64;253;701
2024-07-22;06:47:00;7;4;0;243;669
2024-07-22;06:47:00;8;4;0;252;685
2024-07-22;06:47:00;9;5;68;0;0
2024-07-22;06:47:00;10;5;80;241;674
2024-07-22;06:48:00;1;1;76;239;0
2024-07-22;06:48:00;2;1;91;0;0
2024-07-22;06:48:00;3;2;60;262;719
2024-07-22;06:48:00;4;2;66;0;735
2024-07-22;06:48:00;5;3;74;239;688
2024-07-22;06:48:00;6;3;0;0;702
2024-07-22;06:48:00;7;4;82;239;687
2024-07-22;06:48:00;8;4;88;0;0
2024-07-22;06:48:00;9;5;0;251;0
2024-07-22;06:48:00;10;5;0;258;717
2024-07-22;06:49:00;1;1;0;0;0
2024-07-22;06:49:00;2;1;0;257;0
2024-07-22;06:49:00;3;2;75;245;0
2024-07-22;06:49:00;4;2;0;0;722
2024-07-22;06:49:00;5;3;65;0;710
2024-07-22;06:49:00;6;3;0;0;0
2024-07-22;06:49:00;7;4;0;253;710
2024-07-22;06:49:00;8;4;78;0;0
2024-07-22;06:49:00;9;5;53;0;700
2024-07-22;06:49:00;10;5;0;258;712
2024-07-22;06:50:00;1;1;0;250;696
2024-07-22;06:50:00;2;1;87;0;718
2024-07-22;06:50:00;3;2;72;242;728
2024-07-22;06:50:00;4;2;0;255;742
2024-07-22;06:50:00;5;3;59;251;706
2024-07-22;06:50:00;6;3;73;254;0
2024-07-22;06:50:00;7;4;0;0;683
2024-07-22;06:50:00;8;4;66;246;0
2024-07-22;06:50:00;9;5;80;247;695
2024-07-22;06:50:00;10;5;90;0;708
2024-07-22;06:51:00;1;1;82;0;721
2024-07-22;06:51:00;2;1;95;252;741
2024-07-22;06:51:00;3;2;76;0;0
2024-07-22;06:51:00;4;2;0;254;0
2024-07-22;06:51:00;5;3;92;239;724
2024-07-22;06:51:00;6;3;104;0;739
2024-07-22;06:51:00;7;4;83;255;0
2024-07-22;06:51:00;8;4;99;257;684
2024-07-22;06:51:00;9;5;61;0;703
2024-07-22;06:51:00;10;5;62;260;722
2024-07-22;06:52:00;1;1;0;0;699
2024-07-22;06:52:00;2;1;0;255;0
2024-07-22;06:52:00;3;2;41;0;718
2024-07-22;06:52:00;4;2;50;0;728
2024-07-22;06:52:00;5;3;72;253;694
2024-07-22;06:52:00;6;3;80;257;705
2024-07-22;06:52:00;7;4;77;0;0
2024-07-22;06:52:00;8;4;78;255;697
2024-07-22;06:52:00;9;5;0;241;0
2024-07-22;06:52:00;10;5;87;247;710
2024-07-22;06:53:00;1;1;59;0;696
2024-07-22;06:53:00;2;1;73;254;706
2024-07-22;06:53:00;3;2;0;243;0
2024-07-22;06:53:00;4;2;62;255;674
2024-07-22;06:53:00;5;3;68;257;690
2024-07-22;06:53:00;6;3;0;263;699
2024-07-22;06:53:00;7;4;0;261;0
2024-07-22;06:53:00;8;4;73;0;692
2024-07-22;06:53:00;9;5;0;235;689
2024-07-22;06:53:00;10;5;77;252;702
2024-07-22;06:54:00;1;1;67;242;653
2024-07-22;06:54:00;2;1;73;253;670
2024-07-22;06:54:00;3;2;63;253;709
2024-07-22;06:54:00;4;2;72;263;711
2024-07-22;06:54:00;5;3;85;238;712
2024-07-22;06:54:00;6;3;0;256;721
2024-07-22;06:54:00;7;4;72;0;699
2024-07-22;06:54:00;8;4;77;0;708
2024-07-22;06:54:00;9;5;91;247;667
2024-07-22;06:54:00;10;5;0;0;0
2024-07-22;06:55:00;1;1;73;0;650
2024-07-22;06:55:00;2;1;81;257;653
2024-07-22;06:55:00;3;2;62;0;705
2024-07-22;06:55:00;4;2;75;266;723
2024-07-22;06:55:00;5;3;62;242;705
2024-07-22;06:55:00;6;3;70;251;714
2024-07-22;06:55:00;7;4;85;243;0
2024-07-22;06:55:00;8;4;92;258;702
2024-07-22;06:55:00;9;5;76;0;708
2024-07-22;06:55:00;10;5;79;249;0
2024-07-22;06:56:00;1;1;0;266;0
2024-07-22;06:56:00;2;1;86;277;708
2024-07-22;06:56:00;3;2;52;259;704
2024-07-22;06:56:00;4;2;62;270;725
2024-07-22;06:56:00;5;3;0;244;689
2024-07-22;06:56:00;6;3;0;250;0
2024-07-22;06:56:00;7;4;78;255;697
2024-07-22;06:56:00;8;4;77;264;712
2024-07-22;06:56:00;9;5;100;0;679
2024-07-22;06:56:00;10;5;107;246;684
2024-07-22;06:57:00;1;1;68;240;707
2024-07-22;06:57:00;2;1;0;243;727
2024-07-22;06:57:00;3;2;90;0;696
2024-07-22;06:57:00;4;2;94;253;0
2024-07-22;06:57:00;5;3;0;0;0
2024-07-22;06:57:00;6;3;69;243;706
2024-07-22;06:57:00;7;4;50;0;0
2024-07-22;06:57:00;8;4;64;273;734
2024-07-22;06:57:00;9;5;55;259;666
2024-07-22;06:57:00;10;5;75;273;680
2024-07-22;06:58:00;1;1;75;239;696
2024-07-22;06:58:00;2;1;0;0;722
2024-07-22;06:58:00;3;2;0;247;694
2024-07-22;06:58:00;4;2;0;255;0
2024-07-22;06:58:00;5;3;70;0;692
2024-07-22;06:58:00;6;3;72;252;706
2024-07-22;06:58:00;7;4;0;259;721
2024-07-22;06:58:00;8;4;75;0;733
2024-07-22;06:58:00;9;5;0;250;689
